outcome,deck1,deck2,level_1,level_2,hitpoint_1,elixir_1,hitpoint_2,elixir_2
True,"['Balloon', 'Witch', 'Fireball', 'Wizard', 'Prince', 'Zap', 'Skeleton Army', 'Lumberjack']","['Skeletons', 'Rage', 'Zap', 'Elite Barbarians', 'Mega Knight', 'Bandit', 'Minions', 'Hog Rider']","[9, 9, 12, 12, 9, 14, 9, 6]","[10, 9, 14, 14, 6, 6, 14, 12]","[1396.0, 696.0, 757.0, 792.0, 1615.0, 0.0, 67.0, 0.0]",33.0,"[74.0, 0.0, 0.0, 1552.0, 0.0, 0.0, 305.0, 1864.0]",28.0
True,"['Balloon', 'Witch', 'Fireball', 'Wizard', 'Prince', 'Zap', 'Skeleton Army', 'Lumberjack']","['Wizard', 'Skeleton Army', 'Hog Rider', 'Barbarians', 'Minions', 'Arrows', 'Goblin Barrel', 'Valkyrie']","[9, 9, 12, 12, 9, 14, 9, 6]","[12, 9, 12, 14, 14, 14, 9, 12]","[1396.0, 696.0, 757.0, 792.0, 1615.0, 0.0, 67.0, 0.0]",33.0,"[792.0, 67.0, 1864.0, 888.0, 305.0, 0.0, 167.0, 2190.0]",30.0
True,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Wizard', 'Witch', 'Inferno Dragon', 'The Log', 'Fireball', 'Bats', 'Mega Knight', 'Ice Spirit']","[14, 12, 11, 10, 9, 14, 14, 5]","[12, 9, 4, 4, 11, 12, 6, 11]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[792.0, 696.0, 0.0, 0.0, 689.0, 89.0, 0.0, 230.0]",30.0
False,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Dart Goblin', 'Knight', 'Wall Breakers', 'Royal Ghost', 'Giant Snowball', 'Flying Machine', 'Minion Horde', 'Royal Recruits']","[14, 12, 11, 10, 9, 14, 14, 5]","[10, 14, 7, 5, 12, 10, 13, 13]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[237.0, 2210.0, 227.0, 0.0, 0.0, 559.0, 278.0, 290.0]",29.0
True,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Giant', 'Balloon', 'Night Witch', 'Minion Horde', 'Zap', 'Dart Goblin', 'Fireball', 'Cannon']","[14, 12, 11, 10, 9, 14, 14, 5]","[11, 9, 5, 12, 12, 11, 10, 12]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[3945.0, 1396.0, 0.0, 252.0, 0.0, 260.0, 627.0, 983.0]",31.0
False,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Bandit', 'Barbarian Barrel', 'Dart Goblin', 'Skeleton Army', 'P.E.K.K.A', 'Poison', 'Ram Rider', 'Electro Wizard']","[14, 12, 11, 10, 9, 14, 14, 5]","[4, 7, 11, 8, 9, 9, 4, 4]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[0.0, 0.0, 260.0, 61.0, 3125.0, 600.0, 0.0, 0.0]",31.0
True,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Mega Knight', 'Rage', 'Witch', 'Wizard', 'Balloon', 'Goblin Gang', 'Mirror', 'Elite Barbarians']","[14, 12, 11, 10, 9, 14, 14, 5]","[6, 7, 8, 12, 9, 13, 9, 14]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[0.0, 0.0, 634.0, 792.0, 1396.0, 351.0, 0.0, 1552.0]",33.0
True,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Bats', 'Goblin Gang', 'Hog Rider', 'The Log', 'Mortar', 'Rascals', 'Spear Goblins', 'Valkyrie']","[14, 12, 11, 10, 9, 14, 14, 5]","[12, 13, 12, 5, 14, 14, 11, 12]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[89.0, 351.0, 1864.0, 0.0, 1949.0, 0.0, 133.0, 2190.0]",26.0
False,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Balloon', 'Hog Rider', 'Zap', 'Arrows', 'Inferno Tower', 'Mega Minion', 'Valkyrie', 'Ice Spirit']","[14, 12, 11, 10, 9, 14, 14, 5]","[9, 12, 14, 14, 10, 10, 10, 13]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[1396.0, 1864.0, 0.0, 0.0, 1592.0, 762.0, 1814.0, 278.0]",27.0
True,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Mirror', 'Elite Barbarians', 'Wizard', 'Sparky', 'Clone', 'Giant Skeleton', 'Rocket', 'Freeze']","[14, 12, 11, 10, 9, 14, 14, 5]","[9, 14, 12, 6, 8, 9, 12, 9]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[0.0, 1552.0, 792.0, 0.0, 0.0, 2793.0, 0.0, 95.0]",36.0
False,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Princess', 'Goblin Barrel', 'The Log', 'Knight', 'Dart Goblin', 'Rocket', 'Tesla', 'Ice Spirit']","[14, 12, 11, 10, 9, 14, 14, 5]","[5, 9, 4, 12, 9, 11, 14, 12]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[0.0, 167.0, 0.0, 1832.0, 216.0, 0.0, 1525.0, 252.0]",25.0
False,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Mini P.E.K.K.A', 'Wizard', 'Freeze', 'Mega Knight', 'Zap', 'Elite Barbarians', 'Rocket', 'Minion Horde']","[14, 12, 11, 10, 9, 14, 14, 5]","[12, 12, 9, 6, 14, 14, 12, 14]","[403.0, 2190.0, 720.0, 1544.0, 600.0, 0.0, 888.0, 0.0]",31.0,"[1495.0, 792.0, 95.0, 0.0, 0.0, 1552.0, 0.0, 305.0]",39.0
True,"['Mirror', 'The Log', 'Lumberjack', 'Clone', 'Wizard', 'Goblin Cage', 'Zap', 'Elite Barbarians']","['Arrows', 'Mega Knight', 'Hog Rider', 'Skeleton Army', 'Zap', 'Bats', 'Electro Wizard', 'P.E.K.K.A']","[9, 5, 4, 9, 12, 12, 14, 14]","[13, 4, 12, 7, 13, 11, 4, 7]","[0.0, 0.0, 0.0, nan, 792.0, 1060.0, 0.0, 1552.0]",26.0,"[0.0, 0.0, 1864.0, 56.0, 0.0, 81.0, 0.0, 2585.0]",32.0
False,"['Mirror', 'Goblin Barrel', 'Magic Archer', 'The Log', 'Miner', 'Electro Wizard', 'Guards', 'Rocket']","['Wizard', 'Bomber', 'Fireball', 'Hog Rider', 'Valkyrie', 'Witch', 'Electro Wizard', 'Goblin Barrel']","[9, 6, 2, 5, 2, 4, 9, 10]","[12, 14, 12, 12, 12, 9, 6, 9]","[0.0, 126.0, 0.0, 0.0, 0.0, 0.0, 199.0, 0.0]",25.0,"[792.0, 637.0, 757.0, 1864.0, 2190.0, 696.0, 0.0, 167.0]",32.0
False,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['P.E.K.K.A', 'Hog Rider', 'Witch', 'Bats', 'Arrows', 'Princess', 'The Log', 'Baby Dragon']","[9, 9, 6, 12, 14, 5, 4, 7]","[9, 12, 9, 14, 14, 6, 6, 9]","[0.0, nan, 0.0, 792.0, 0.0, 0.0, 0.0, 0.0]",25.0,"[3125.0, 1864.0, 696.0, 108.0, 0.0, 0.0, 0.0, 1064.0]",30.0
True,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['Wizard', 'Goblin Barrel', 'Princess', 'Hog Rider', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Dart Goblin']","[9, 9, 6, 12, 14, 5, 4, 7]","[11, 8, 5, 12, 9, 12, 12, 11]","[0.0, nan, 0.0, 792.0, 0.0, 0.0, 0.0, 0.0]",25.0,"[720.0, 152.0, 0.0, 1864.0, 696.0, 1495.0, 2190.0, 260.0]",31.0
False,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['Mega Knight', 'Barbarian Barrel', 'Poison', 'Tombstone', 'Valkyrie', 'Witch', 'Arrows', 'Miner']","[9, 9, 6, 12, 14, 5, 4, 7]","[5, 7, 6, 11, 12, 8, 12, 5]","[0.0, nan, 0.0, 792.0, 0.0, 0.0, 0.0, 0.0]",25.0,"[0.0, 0.0, 456.0, 508.0, 2190.0, 634.0, 0.0, 0.0]",31.0
False,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['Valkyrie', 'Hog Rider', 'Elite Barbarians', 'Arrows', 'Wizard', 'Dart Goblin', 'Inferno Dragon', 'Royal Giant']","[9, 9, 6, 12, 14, 5, 4, 7]","[12, 10, 14, 12, 12, 11, 6, 12]","[0.0, nan, 0.0, 792.0, 0.0, 0.0, 0.0, 0.0]",25.0,"[2190.0, 1544.0, 1552.0, 0.0, 792.0, 260.0, 0.0, 3372.0]",35.0
False,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['Baby Dragon', 'Skeleton Army', 'Musketeer', 'Goblin Barrel', 'Arrows', 'Giant Skeleton', 'Valkyrie', 'Mini P.E.K.K.A']","[9, 9, 6, 12, 14, 5, 4, 7]","[8, 7, 12, 9, 14, 8, 12, 10]","[0.0, nan, 0.0, 792.0, 0.0, 0.0, 0.0, 0.0]",25.0,"[968.0, 56.0, 792.0, 167.0, 0.0, 2541.0, 2190.0, 1239.0]",31.0
False,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['Bats', 'Valkyrie', 'Skeleton Army', 'Mega Knight', 'Freeze', 'Witch', 'Princess', 'Arrows']","[9, 9, 6, 12, 14, 5, 4, 7]","[11, 10, 6, 6, 6, 9, 4, 11]","[0.0, nan, 0.0, 792.0, 0.0, 0.0, 0.0, 0.0]",25.0,"[81.0, 1814.0, 51.0, 0.0, 72.0, 696.0, 0.0, 0.0]",31.0
False,"['Valkyrie', 'Baby Dragon', 'Prince', 'Spear Goblins', 'The Log', 'Fireball', 'Princess', 'Inferno Dragon']","['Hog Rider', 'Valkyrie', 'Freeze', 'Goblin Hut', 'Mini P.E.K.K.A', 'Poison', 'Musketeer', 'Witch']","[12, 9, 9, 14, 6, 12, 6, 6]","[12, 11, 9, 12, 12, 9, 12, 9]","[2190.0, 1064.0, 1615.0, 176.0, 0.0, 757.0, 0.0, 0.0]",28.0,"[1864.0, 1992.0, 95.0, 1712.0, 1495.0, 600.0, 792.0, 696.0]",34.0
False,"['Valkyrie', 'Baby Dragon', 'Prince', 'Spear Goblins', 'The Log', 'Fireball', 'Princess', 'Inferno Dragon']","['Dark Prince', 'Hog Rider', 'Electro Wizard', 'Fireball', 'The Log', 'Minions', 'Mini P.E.K.K.A', 'P.E.K.K.A']","[12, 9, 9, 14, 6, 12, 6, 6]","[9, 12, 6, 12, 6, 14, 12, 9]","[2190.0, 1064.0, 1615.0, 176.0, 0.0, 757.0, 0.0, 0.0]",28.0,"[199.0, 1864.0, 0.0, 757.0, 0.0, 305.0, 1495.0, 3125.0]",32.0
True,"['Valkyrie', 'Baby Dragon', 'Prince', 'Spear Goblins', 'The Log', 'Fireball', 'Princess', 'Inferno Dragon']","['The Log', 'Cannon', 'Elite Barbarians', 'Musketeer', 'Skeletons', 'Zap', 'Princess', 'Hog Rider']","[12, 9, 9, 14, 6, 12, 6, 6]","[6, 14, 14, 12, 14, 14, 6, 12]","[2190.0, 1064.0, 1615.0, 176.0, 0.0, 757.0, 0.0, 0.0]",28.0,"[0.0, 1186.0, 1552.0, 792.0, 108.0, 0.0, 0.0, 1864.0]",25.0
False,"['Valkyrie', 'Baby Dragon', 'Prince', 'Spear Goblins', 'The Log', 'Fireball', 'Princess', 'Inferno Dragon']","['Ice Spirit', 'Bats', 'Goblin Giant', 'Ice Golem', 'Tornado', 'Lightning', 'Archers', 'Sparky']","[12, 9, 9, 14, 6, 12, 6, 6]","[14, 14, 9, 12, 9, 9, 14, 6]","[2190.0, 1064.0, 1615.0, 176.0, 0.0, 757.0, 0.0, 0.0]",28.0,"[305.0, 108.0, 2616.0, 1316.0, 0.0, 0.0, 403.0, 0.0]",29.0
True,"['Valkyrie', 'Baby Dragon', 'Prince', 'Spear Goblins', 'The Log', 'Fireball', 'Princess', 'Inferno Dragon']","['Princess', 'Dart Goblin', 'Tesla', 'Knight', 'The Log', 'Skeleton Army', 'Goblin Barrel', 'Skeleton Barrel']","[12, 9, 9, 14, 6, 12, 6, 6]","[6, 12, 14, 14, 6, 9, 9, 14]","[2190.0, 1064.0, 1615.0, 176.0, 0.0, 757.0, 0.0, 0.0]",28.0,"[0.0, 286.0, 1525.0, 2210.0, 0.0, 67.0, 167.0, 1017.0]",24.0
True,"['Valkyrie', 'Baby Dragon', 'Prince', 'Spear Goblins', 'The Log', 'Fireball', 'Princess', 'Inferno Dragon']","['Skeleton Barrel', 'Inferno Tower', 'Princess', 'Goblin Barrel', 'Dart Goblin', 'Skeleton Army', 'The Log', 'Knight']","[12, 9, 9, 14, 6, 12, 6, 6]","[14, 12, 6, 9, 12, 9, 6, 14]","[2190.0, 1064.0, 1615.0, 176.0, 0.0, 757.0, 0.0, 0.0]",28.0,"[1017.0, 1922.0, 0.0, 167.0, 286.0, 67.0, 0.0, 2210.0]",25.0
True,"['Valkyrie', 'Baby Dragon', 'Prince', 'Spear Goblins', 'The Log', 'Fireball', 'Princess', 'Inferno Dragon']","['Dart Goblin', 'Tornado', 'Zap', 'Tombstone', 'Hog Rider', 'Witch', 'Bowler', 'Fireball']","[12, 9, 9, 14, 6, 12, 6, 6]","[12, 9, 14, 12, 12, 9, 9, 12]","[2190.0, 1064.0, 1615.0, 176.0, 0.0, 757.0, 0.0, 0.0]",28.0,"[286.0, 0.0, 0.0, 558.0, 1864.0, 696.0, 1596.0, 757.0]",29.0
True,"['Valkyrie', 'Baby Dragon', 'Prince', 'Spear Goblins', 'The Log', 'Fireball', 'Princess', 'Inferno Dragon']","['Skeleton Army', 'Witch', 'Hog Rider', 'Mega Minion', 'Fireball', 'Bomber', 'Miner', 'Goblin Gang']","[12, 9, 9, 14, 6, 12, 6, 6]","[9, 9, 12, 12, 12, 14, 6, 14]","[2190.0, 1064.0, 1615.0, 176.0, 0.0, 757.0, 0.0, 0.0]",28.0,"[67.0, 696.0, 1864.0, 920.0, 757.0, 637.0, 0.0, 384.0]",28.0
