type,gameMode,crowns1,startingTrophies2,crowns2,deck1,deck2,avg_cards_level_1,avg_cards_level_2,avg_cards_level_diff,crowns_won,2_won
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,5696.0,2,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Hog Rider', 'Dart Goblin', 'Witch', 'Rage', 'Elite Barbarians', 'Firecracker', 'The Log', 'Electro Wizard']",12.75,13.375,0.625,1,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",1,5724.0,2,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Mega Knight', 'Wall Breakers', 'Cannon', 'The Log', 'Witch', 'Hog Rider', 'Minions', 'Fireball']",12.75,12.875,0.125,1,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5728.0,1,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Giant', 'Musketeer', 'Golden Knight', 'Skeleton Army', 'Graveyard', 'Arrows', 'Bowler', 'Bats']",12.75,12.5,-0.25,-2,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5684.0,0,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Lava Hound', 'Balloon', 'Inferno Dragon', 'Minions', 'Skeleton Army', 'Fireball', 'Knight', 'Arrows']",12.75,12.0,-0.75,-3,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",0,5704.0,2,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['P.E.K.K.A', 'Valkyrie', 'Mighty Miner', 'Witch', 'Arrows', 'Wizard', 'Freeze', 'Elite Barbarians']",12.75,12.5,-0.25,2,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5681.0,2,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Mirror', 'Valkyrie', 'Mini P.E.K.K.A', 'Skeleton Army', 'Wizard', 'Bats', 'Freeze', 'Goblin Barrel']",12.75,12.625,-0.125,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",2,5666.0,1,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Clone', 'Goblin Hut', 'Witch', 'Arrows', 'Skeleton Army', 'Mega Knight', 'Hog Rider', 'Firecracker']",12.75,12.25,-0.5,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5637.0,1,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Prince', 'The Log', 'Witch', 'P.E.K.K.A', 'Skeleton Army', 'Fireball', 'Golden Knight', 'Musketeer']",12.75,11.25,-1.5,-2,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",1,5623.0,3,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Royal Recruits', 'Minion Horde', 'Royal Hogs', 'Elixir Golem', 'Mini P.E.K.K.A', 'Witch', 'Rage', 'Balloon']",12.75,12.5,-0.25,2,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5623.0,2,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Goblin Gang', 'Electro Wizard', 'Baby Dragon', 'Monk', 'Princess', 'Balloon', 'The Log', 'Lumberjack']",12.625,12.25,-0.375,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5588.0,1,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Golden Knight', 'Archers', 'Elixir Golem', 'Baby Dragon', 'Mega Knight', 'Skeleton Army', 'Witch', 'Wizard']",12.625,12.75,0.125,-2,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5530.0,2,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Baby Dragon', 'Rocket', 'Goblin Cage', 'Skeleton Army', 'Hog Rider', 'Goblin Barrel', 'Musketeer', 'Mini P.E.K.K.A']",12.625,12.875,0.25,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5938.0,1,"['Balloon', 'Witch', 'Fireball', 'Wizard', 'Prince', 'Zap', 'Skeleton Army', 'Lumberjack']","['Giant Skeleton', 'Firecracker', 'Skeleton Army', 'Goblin Barrel', 'Tesla', 'Wizard', 'Zap', 'Mini P.E.K.K.A']",14.0,13.875,-0.125,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,5872.0,0,"['Balloon', 'Witch', 'Fireball', 'Wizard', 'Prince', 'Zap', 'Skeleton Army', 'Lumberjack']","['P.E.K.K.A', 'Electro Wizard', 'Electro Dragon', 'Poison', 'Minions', 'Knight', 'Miner', 'The Log']",14.0,13.125,-0.875,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",3,5880.0,2,"['Balloon', 'Witch', 'Fireball', 'Wizard', 'Prince', 'Zap', 'Skeleton Army', 'Lumberjack']","['Skeletons', 'Rage', 'Zap', 'Elite Barbarians', 'Mega Knight', 'Bandit', 'Minions', 'Hog Rider']",14.0,13.5,-0.5,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",2,5822.0,1,"['Balloon', 'Witch', 'Fireball', 'Wizard', 'Prince', 'Zap', 'Skeleton Army', 'Lumberjack']","['Wizard', 'Skeleton Army', 'Hog Rider', 'Barbarians', 'Minions', 'Arrows', 'Goblin Barrel', 'Valkyrie']",14.0,14.0,0.0,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5772.0,0,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Royal Hogs', 'Mini P.E.K.K.A', 'Wizard', 'Phoenix', 'Arrows', 'Lumberjack', 'Baby Dragon', 'Elite Barbarians']",13.5,13.375,-0.125,-3,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,5764.0,0,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Wizard', 'Witch', 'Inferno Dragon', 'The Log', 'Fireball', 'Bats', 'Mega Knight', 'Ice Spirit']",13.5,12.75,-0.75,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5740.0,1,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Dart Goblin', 'Knight', 'Wall Breakers', 'Royal Ghost', 'Giant Snowball', 'Flying Machine', 'Minion Horde', 'Royal Recruits']",13.5,12.625,-0.875,1,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",2,5720.0,1,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Giant', 'Balloon', 'Night Witch', 'Minion Horde', 'Zap', 'Dart Goblin', 'Fireball', 'Cannon']",13.5,12.625,-0.875,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",0,5765.0,1,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['P.E.K.K.A', 'Inferno Dragon', 'Furnace', 'Hog Rider', 'Ice Spirit', 'Princess', 'Royal Delivery', 'Zap']",13.5,13.125,-0.375,1,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",1,5764.0,0,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Firecracker', 'Goblin Hut', 'Skeletons', 'Arrows', 'Mini P.E.K.K.A', 'Spear Goblins', 'Lightning', 'Furnace']",13.5,12.625,-0.875,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",0,5762.0,1,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Bandit', 'Barbarian Barrel', 'Dart Goblin', 'Skeleton Army', 'P.E.K.K.A', 'Poison', 'Ram Rider', 'Electro Wizard']",13.5,12.75,-0.75,1,1
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",1,5748.0,0,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Mega Knight', 'Rage', 'Witch', 'Wizard', 'Balloon', 'Goblin Gang', 'Mirror', 'Elite Barbarians']",13.5,13.5,0.0,-1,0
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",0,5751.0,3,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Fire Spirit', 'The Log', 'Magic Archer', 'Archers', 'Electro Wizard', 'P.E.K.K.A', 'Skeletons', 'Baby Dragon']",13.5,13.0,-0.5,3,1
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",1,5737.0,0,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Bats', 'Goblin Gang', 'Hog Rider', 'The Log', 'Mortar', 'Rascals', 'Spear Goblins', 'Valkyrie']",13.5,13.125,-0.375,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5732.0,1,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Balloon', 'Hog Rider', 'Zap', 'Arrows', 'Inferno Tower', 'Mega Minion', 'Valkyrie', 'Ice Spirit']",13.5,13.125,-0.375,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,5690.0,0,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Elite Barbarians', 'Valkyrie', 'Firecracker', 'Tesla', 'The Log', 'Musketeer', 'Skeleton Army', 'Mini P.E.K.K.A']",13.5,13.0,-0.5,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,5701.0,0,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Mirror', 'Elite Barbarians', 'Wizard', 'Sparky', 'Clone', 'Giant Skeleton', 'Rocket', 'Freeze']",13.5,13.875,0.375,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5709.0,1,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Princess', 'Goblin Barrel', 'The Log', 'Knight', 'Dart Goblin', 'Rocket', 'Tesla', 'Ice Spirit']",13.5,12.625,-0.875,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5757.0,1,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Mini P.E.K.K.A', 'Wizard', 'Freeze', 'Mega Knight', 'Zap', 'Elite Barbarians', 'Rocket', 'Minion Horde']",13.5,14.0,0.5,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,5712.0,0,"['Archers', 'Valkyrie', 'Wizard', 'Hog Rider', 'Poison', 'Zap', 'Barbarians', 'Electro Wizard']","['Elite Barbarians', 'Furnace', 'Electro Wizard', 'Goblin Barrel', 'Skeleton Army', 'Ice Golem', 'Fire Spirit', 'Zap']",13.5,13.375,-0.125,-1,0
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",3,6008.0,0,"['Mirror', 'The Log', 'Lumberjack', 'Clone', 'Wizard', 'Goblin Cage', 'Zap', 'Elite Barbarians']","['Arrows', 'Mega Knight', 'Hog Rider', 'Skeleton Army', 'Zap', 'Bats', 'Electro Wizard', 'P.E.K.K.A']",13.625,12.375,-1.25,-3,0
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",0,6000.0,3,"['Mirror', 'Dark Prince', 'Magic Archer', 'The Log', 'Golden Knight', 'Electro Wizard', 'Ice Golem', 'Rocket']","['Musketeer', 'Royal Hogs', 'Furnace', 'Bomb Tower', 'Poison', 'Bats', 'Mirror', 'Wizard']",11.75,14.0,2.25,3,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,6041.0,1,"['Mirror', 'Goblin Barrel', 'Magic Archer', 'The Log', 'Miner', 'Electro Wizard', 'Guards', 'Rocket']","['Wizard', 'Bomber', 'Fireball', 'Hog Rider', 'Valkyrie', 'Witch', 'Electro Wizard', 'Goblin Barrel']",12.0,14.0,2.0,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,6028.0,1,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['Skeletons', 'Valkyrie', 'The Log', 'Giant', 'Mirror', 'Dart Goblin', 'Firecracker', 'Ice Wizard']",13.375,13.25,-0.125,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5994.0,3,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['Mega Knight', 'Hog Rider', 'Valkyrie', 'Zap', 'Skeleton Army', 'Fireball', 'Firecracker', 'Tesla']",13.375,14.0,0.625,3,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",2,6020.0,3,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['P.E.K.K.A', 'Hog Rider', 'Witch', 'Bats', 'Arrows', 'Princess', 'The Log', 'Baby Dragon']",13.375,14.0,0.625,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",2,6000.0,1,"['Mirror', 'Clone', 'Mega Knight', 'Wizard', 'Zap', 'The Log', 'Bandit', 'Tornado']","['Wizard', 'Goblin Barrel', 'Princess', 'Hog Rider', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Dart Goblin']",13.375,13.5,0.125,-1,0
